Id;Designator;Footprint;Quantity;Comment;Supplier and ref
1;XA**;Arduino_Mega2560_Shield;1;Arduino_Mega2560_Shield;
2;big_cap;CP_Radial_D8.0mm_P3.80mm;1;CP_Radial_D8.0mm_P3.80mm;
3;S14,S6,S4,S5,S17,S16,S23,S1,S21,S9,S8,S11,S2,S3,S7,S13,S24,S12,S20,S19,S22,S18,S25,S15,S10;TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm;25;TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm;
4;REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**;PinHeader_2x20_P1.00mm_Vertical;20;PinHeader_2x20_P1.00mm_Vertical;
5;m3,m2,m1,m2,m3,m2,m1,m1,m2,m1,m4,m4,m1,m2,m4,m1,m2,m4,m2,m2,m2,m1,m2,m3,m1,m3,m2,m3,m1,m2,m4,m4,m4,m4,m4,m4,m2,m3,m2,m3,m1,m1,m2,m1,m3,m1,m3,m1,m3,m1,m3,m4,m4,m3,m1,m3,m3,m3,m2,m4,m4,m1,m1,m3,m4,m1,m2,m3,m4,m1,m2,m1,m4,m2,m3,m2,m2,m4,m3,m1,m3,m1,m3,m4,m1,m4,m3,m2,m2,m4,m4,m2,m4,m3,m3,m4,m2,m4,m1,m3;PinHeader_1x02_P1.00mm_Vertical;100;PinHeader_1x02_P1.00mm_Vertical;
6;Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button;SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243;100;SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243;
7;d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d;D_SOD-123;100;D_SOD-123;
8;M1_12,M1_13,M1_25,M2_23,M2_15,M1_15,M2_3,M2_25,M2_1,M2_9,M2_10,M1_24,M2_16,M2_14,M1_11,M2_20,M2_18,M1_17,M1_14,M1_6,M1_3,M2_7,M2_24,M1_1,M1_9,M1_10,M2_8,M1_18,M2_11,M2_13,M2_22,M2_6,M1_5,M1_4,M1_2,M2_17,M1_22,M1_16,M1_23,M1_20,M2_4,M2_2,M1_8,M1_7,M2_5,M1_21,M2_21,M2_19,M1_19,M2_12;SSOP-24_5.3x8.2mm_P0.65mm;50;SSOP-24_5.3x8.2mm_P0.65mm;
9;C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2;0805-NO;50;10µF;
10;Power;TerminalBlock_Altech_AK300-2_P5.00mm;1;TerminalBlock_Altech_AK300-2_P5.00mm;
11;,;;2;;
