Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,10µF,0805-NO,205.627,-49.2024,0,top
C2,10µF,0805-NO,176.152,-125.2274,0,top
C2,10µF,0805-NO,144.522,-96.1122,0,top
C2,10µF,0805-NO,185.672,-71.9872,0,top
C2,10µF,0805-NO,185.822,-84.7872,0,top
C2,10µF,0805-NO,225.947,-48.2372,0,top
C2,10µF,0805-NO,124.202,-44.6524,0,top
C2,10µF,0805-NO,205.777,-35.3524,0,top
C2,10µF,0805-NO,165.352,-98.5524,0,top
C2,10µF,0805-NO,133.752,-137.9024,0,top
C2,10µF,0805-NO,205.302,-87.3024,0,top
C2,10µF,0805-NO,133.477,-110.8274,0,top
C2,10µF,0805-NO,165.502,-85.7524,0,top
C2,10µF,0805-NO,225.897,-73.5372,0,top
C2,10µF,0805-NO,196.472,-124.2622,0,top
C2,10µF,0805-NO,226.022,-99.5622,0,top
C2,10µF,0805-NO,226.097,-34.3872,0,top
C2,10µF,0805-NO,123.952,-31.9024,0,top
C2,10µF,0805-NO,144.522,-43.6872,0,top
C2,10µF,0805-NO,175.902,-111.7524,0,top
C2,10µF,0805-NO,133.627,-123.9024,0,top
C2,10µF,0805-NO,154.072,-136.9372,0,top
C2,10µF,0805-NO,185.422,-46.6372,0,top
C2,10µF,0805-NO,196.222,-110.7872,0,top
C2,10µF,0805-NO,165.102,-34.5524,0,top
C2,10µF,0805-NO,225.0378,-136.947,-90,top
C2,10µF,0805-NO,225.622,-86.3372,0,top
C2,10µF,0805-NO,225.772,-60.6122,0,top
C2,10µF,0805-NO,124.202,-97.0774,0,top
C2,10µF,0805-NO,124.3564,-57.3214,0,top
C2,10µF,0805-NO,165.352,-72.9524,0,top
C2,10µF,0805-NO,153.947,-122.9372,0,top
C2,10µF,0805-NO,124.677,-70.3774,0,top
C2,10µF,0805-NO,185.422,-33.5872,0,top
C2,10µF,0805-NO,144.272,-30.9372,0,top
C2,10µF,0805-NO,164.952,-60.2774,0,top
C2,10µF,0805-NO,205.702,-100.5274,0,top
C2,10µF,0805-NO,205.452,-61.5774,0,top
C2,10µF,0805-NO,144.997,-69.4122,0,top
C2,10µF,0805-NO,153.797,-109.8622,0,top
C2,10µF,0805-NO,124.452,-83.2774,0,top
C2,10µF,0805-NO,176.427,-139.2274,0,top
C2,10µF,0805-NO,165.102,-47.6024,0,top
C2,10µF,0805-NO,224.0726,-116.627,-90,top
C2,10µF,0805-NO,185.272,-59.3122,0,top
C2,10µF,0805-NO,144.6764,-56.3562,0,top
C2,10µF,0805-NO,205.577,-74.5024,0,top
C2,10µF,0805-NO,144.772,-82.3122,0,top
C2,10µF,0805-NO,185.672,-97.5872,0,top
C2,10µF,0805-NO,196.747,-138.2622,0,top
M1_1,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,143.658,-142.2966,0,top
M1_2,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,143.533,-128.2966,0,top
M1_3,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,143.383,-115.2216,0,top
M1_4,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.108,-101.4716,0,top
M1_5,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.358,-87.6716,0,top
M1_6,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.583,-74.7716,0,top
M1_7,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.2624,-61.7156,0,top
M1_8,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.108,-49.0466,0,top
M1_9,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,133.858,-36.2966,0,top
M1_10,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.008,-38.9466,0,top
M1_11,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.008,-51.9966,0,top
M1_12,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,174.858,-64.6716,0,top
M1_13,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.258,-77.3466,0,top
M1_14,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.408,-90.1466,0,top
M1_15,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.258,-102.9466,0,top
M1_16,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.808,-116.1466,0,top
M1_17,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,186.058,-129.6216,0,top
M1_18,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,186.333,-143.6216,0,top
M1_19,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,219.6784,-126.533,-90,top
M1_20,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,215.608,-104.9216,0,top
M1_21,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,215.208,-91.6966,0,top
M1_22,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,215.483,-78.8966,0,top
M1_23,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,215.358,-65.9716,0,top
M1_24,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,215.533,-53.5966,0,top
M1_25,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,215.683,-39.7466,0,top
M2_1,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,153.862,-142.2602,0,top
M2_2,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,153.737,-128.2602,0,top
M2_3,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,153.587,-115.1852,0,top
M2_4,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,144.312,-101.4352,0,top
M2_5,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,144.562,-87.6352,0,top
M2_6,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,144.787,-74.7352,0,top
M2_7,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,144.4664,-61.6792,0,top
M2_8,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,144.312,-49.0102,0,top
M2_9,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,144.062,-36.2602,0,top
M2_10,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.212,-38.9102,0,top
M2_11,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.212,-51.9602,0,top
M2_12,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.062,-64.6352,0,top
M2_13,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.462,-77.3102,0,top
M2_14,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.612,-90.1102,0,top
M2_15,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,185.462,-102.9102,0,top
M2_16,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,196.012,-116.1102,0,top
M2_17,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,196.262,-129.5852,0,top
M2_18,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,196.537,-143.5852,0,top
M2_19,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,219.7148,-136.737,-90,top
M2_20,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,225.812,-104.8852,0,top
M2_21,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,225.412,-91.6602,0,top
M2_22,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,225.687,-78.8602,0,top
M2_23,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,225.562,-65.9352,0,top
M2_24,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,225.737,-53.5602,0,top
M2_25,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,225.887,-39.7102,0,top
Power,TerminalBlock_Altech_AK300-2_P5.00mm,TerminalBlock_Altech_AK300-2_P5.00mm,241.85,-157.35,0,top
S1,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,164.3456,-142.056,0,top
S2,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,164.2206,-128.056,0,top
S3,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,164.0706,-114.981,0,top
S4,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,154.7956,-101.231,0,top
S5,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,155.0456,-87.431,0,top
S6,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,155.2706,-74.531,0,top
S7,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,154.95,-61.475,0,top
S8,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,154.7956,-48.806,0,top
S9,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,154.5456,-36.056,0,top
S10,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,195.6956,-38.706,0,top
S11,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,195.6956,-51.756,0,top
S12,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,195.5456,-64.431,0,top
S13,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,195.9456,-77.106,0,top
S14,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,196.0956,-89.906,0,top
S15,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,195.9456,-102.706,0,top
S16,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,206.4956,-115.906,0,top
S17,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,206.7456,-129.381,0,top
S18,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,207.0206,-143.381,0,top
S19,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,219.919,-147.2206,-90,top
S20,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,236.2956,-104.681,0,top
S21,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,235.8956,-91.456,0,top
S22,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,236.1706,-78.656,0,top
S23,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,236.0456,-65.731,0,top
S24,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,236.2206,-53.356,0,top
S25,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,236.3706,-39.506,0,top
XA**,Arduino_Mega2560_Shield,Arduino_Mega2560_Shield,29.718,-164.338,0,top
big_cap,CP_Radial_D8.0mm_P3.80mm,CP_Radial_D8.0mm_P3.80mm,221,-156.07,-90,top
d,D_SOD-123,D_SOD-123,44.3992,-75.2602,45,top
d,D_SOD-123,D_SOD-123,84.4042,-99.441,45,top
d,D_SOD-123,D_SOD-123,60.5282,-43.3578,45,top
