Ref,Val,Package,Mid X,Mid Y,Rotation,Layer
C1_1,10µF,0805-NO,133.752,-137.9024,0,top
C1_2,10µF,0805-NO,133.627,-123.9024,0,top
C1_3,10µF,0805-NO,133.477,-110.8274,0,top
C1_4,10µF,0805-NO,124.202,-97.0774,0,top
C1_5,10µF,0805-NO,124.452,-83.2774,0,top
C1_6,10µF,0805-NO,124.677,-70.3774,0,top
C1_7,10µF,0805-NO,124.3564,-57.3214,0,top
C1_8,10µF,0805-NO,124.202,-44.6524,0,top
C1_9,10µF,0805-NO,123.952,-31.9024,0,top
C1_10,10µF,0805-NO,165.102,-34.5524,0,top
C1_11,10µF,0805-NO,165.102,-47.6024,0,top
C1_12,10µF,0805-NO,164.952,-60.2774,0,top
C1_13,10µF,0805-NO,165.352,-72.9524,0,top
C1_14,10µF,0805-NO,165.502,-85.7524,0,top
C1_15,10µF,0805-NO,165.352,-98.5524,0,top
C1_16,10µF,0805-NO,175.902,-111.7524,0,top
C1_17,10µF,0805-NO,176.152,-125.2274,0,top
C1_18,10µF,0805-NO,176.427,-139.2274,0,top
C1_19,10µF,0805-NO,224.0726,-116.627,-90,top
C1_20,10µF,0805-NO,205.702,-100.5274,0,top
C1_21,10µF,0805-NO,205.302,-87.3024,0,top
C1_22,10µF,0805-NO,205.577,-74.5024,0,top
C1_23,10µF,0805-NO,205.452,-61.5774,0,top
C1_24,10µF,0805-NO,205.627,-49.2024,0,top
C1_25,10µF,0805-NO,205.777,-35.3524,0,top
C2_1,10µF,0805-NO,154.072,-136.9372,0,top
C2_2,10µF,0805-NO,153.947,-122.9372,0,top
C2_3,10µF,0805-NO,153.797,-109.8622,0,top
C2_4,10µF,0805-NO,144.522,-96.1122,0,top
C2_5,10µF,0805-NO,144.772,-82.3122,0,top
C2_6,10µF,0805-NO,144.997,-69.4122,0,top
C2_7,10µF,0805-NO,144.6764,-56.3562,0,top
C2_8,10µF,0805-NO,144.522,-43.6872,0,top
C2_9,10µF,0805-NO,144.272,-30.9372,0,top
C2_10,10µF,0805-NO,185.422,-33.5872,0,top
C2_11,10µF,0805-NO,185.422,-46.6372,0,top
C2_12,10µF,0805-NO,185.272,-59.3122,0,top
C2_13,10µF,0805-NO,185.672,-71.9872,0,top
C2_14,10µF,0805-NO,185.822,-84.7872,0,top
C2_15,10µF,0805-NO,185.672,-97.5872,0,top
C2_16,10µF,0805-NO,196.222,-110.7872,0,top
C2_17,10µF,0805-NO,196.472,-124.2622,0,top
C2_18,10µF,0805-NO,196.747,-138.2622,0,top
C2_19,10µF,0805-NO,225.0378,-136.947,-90,top
C2_20,10µF,0805-NO,226.022,-99.5622,0,top
C2_21,10µF,0805-NO,225.622,-86.3372,0,top
C2_22,10µF,0805-NO,225.897,-73.5372,0,top
C2_23,10µF,0805-NO,225.772,-60.6122,0,top
C2_24,10µF,0805-NO,225.947,-48.2372,0,top
C2_25,10µF,0805-NO,226.097,-34.3872,0,top
M1_1,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,143.658,-142.2966,0,top
M1_2,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,143.533,-128.2966,0,top
M1_3,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,143.383,-115.2216,0,top
M1_4,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.108,-101.4716,0,top
M1_5,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.358,-87.6716,0,top
M1_6,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.583,-74.7716,0,top
M1_7,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.2624,-61.7156,0,top
M1_8,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,134.108,-49.0466,0,top
M1_9,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,133.858,-36.2966,0,top
M1_10,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.008,-38.9466,0,top
M1_11,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,175.008,-51.9966,0,top
M1_12,SSOP-24_5.3x8.2mm_P0.65mm,SSOP-24_5.3x8.2mm_P0.65mm,174.858,-64.6716,0,top
