"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"XA**";"Arduino_Mega2560_Shield";1;"Arduino_Mega2560_Shield";;;
2;"big_cap";"CP_Radial_D8.0mm_P3.80mm";1;"CP_Radial_D8.0mm_P3.80mm";;;
3;"Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial,Serial";"TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm";25;"TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm";;;
4;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"PinHeader_2x20_P1.00mm_Vertical";20;"PinHeader_2x20_P1.00mm_Vertical";;;
5;"m3,m2,m1,m2,m3,m2,m1,m1,m2,m1,m4,m4,m1,m2,m4,m1,m2,m4,m2,m2,m2,m1,m2,m3,m1,m3,m2,m3,m1,m2,m4,m4,m4,m4,m4,m4,m2,m3,m2,m3,m1,m1,m2,m1,m3,m1,m3,m1,m3,m1,m3,m4,m4,m3,m1,m3,m3,m3,m2,m4,m4,m1,m1,m3,m4,m1,m2,m3,m4,m1,m2,m1,m4,m2,m3,m2,m2,m4,m3,m1,m3,m1,m3,m4,m1,m4,m3,m2,m2,m4,m4,m2,m4,m3,m3,m4,m2,m4,m1,m3";"PinHeader_1x02_P1.00mm_Vertical";100;"PinHeader_1x02_P1.00mm_Vertical";;;
6;"Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button,Button";"SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243";100;"SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243";;;
7;"d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d,d";"D_SOD-123";100;"D_SOD-123";;;
8;"M1,M1,M1,M2,M2,M1,M2,M2,M2,M2,M2,M1,M2,M2,M1,M2,M2,M1,M1,M1,M1,M2,M2,M1,M1,M1,M2,M1,M2,M2,M2,M2,M1,M1,M1,M2,M1,M1,M1,M1,M2,M2,M1,M1,M2,M1,M2,M2,M1,M2";"SSOP-24_5.3x8.2mm_P0.65mm";50;"SSOP-24_5.3x8.2mm_P0.65mm";;;
9;"C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2,C2";"0805-NO";50;"10µF";;;
10;"Power";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"TerminalBlock_Altech_AK300-2_P5.00mm";;;
11;",";"";2;"";;;
